author,affiliations
"Name(first='Zheng', last='Liu')",Microsoft
"Name(first='Shitao', last='Xiao')",Beijing University of Posts and Telecommunications
"Name(first='Zhao', last='Cao')",huawei
"Name(first='Ali', last='Modarressi')",Iran University of Science and Technology
"Name(first='Mohsen', last='Fayyaz')",University of Tehran
"Name(first='Ehsan', last='Aghazadeh')",University of Massachusetts Amherst
"Name(first='Yadollah', last='Yaghoobzadeh')",University of Tehran
"Name(first='Mohammad Taher', last='Pilehvar')",Tehran Institute for Advanced Studies
"Name(first='Liunian Harold', last='Li')",UCLA
"Name(first='Youngjae', last='Yu')",Allen Institute for AI
"Name(first='Kai-Wei', last='Chang')",UCLA; Unknown
"Name(first='Griffin', last='Adams')",columbia university; Unknown
"Name(first='Alex', last='Fabbri')",Salesforce AI Research
"Name(first='Faisal', last='Ladhak')",columbia university
"Name(first='Noémie', last='Elhadad')",columbia university
"Name(first='Kathleen', last='McKeown')",Columbia University and Amazon (Amazon Scholar); Unknown
"Name(first='Hossein A.', last='Rahmani')",University College London
"Name(first='Xi', last='Wang')",University Colledge London
"Name(first='Qiang', last='Zhang')",The University of Tokyo; Zhejiang University
"Name(first='Aldo', last='Lipani')",University College London
"Name(first='Boshi', last='Wang')",The Ohio State University
"Name(first='Xiang', last='Deng')",The Ohio State University
"Name(first='You', last='Wu')",Google LLC
"Name(first='Jean', last='Maillard')",Meta AI
"Name(first='Cynthia', last='Gao')",Meta AI
"Name(first='Elahe', last='Kalbassi')",Meta
"Name(first='Kaushik Ram', last='Sadagopan')",Meta Platforms Inc.
"Name(first='Vedanuj', last='Goswami')",Meta AI
"Name(first='Philipp', last='Koehn')",Johns Hopkins University
"Name(first='Angela', last='Fan')",Facebook AI Research
"Name(first='Francisco', last='Guzman')",Meta AI
"Name(first='Zhaoyang', last='Wang')",Sun yat-sen university
"Name(first='Zhiyue', last='Liu')",Guangxi University
"Name(first='Xiaopeng', last='Zheng')",Sun yat-sen university
"Name(first='Qinliang', last='Su')",Sun yat-sen university
"Name(first='Jiahai', last='Wang')",Sun yat-sen university
"Name(first='Ziqing', last='Yang')",iFLYTEK Research
"Name(first='Yiming', last='Cui')",Joint Laboratory of HIT and iFLYTEK Research
"Name(first='Xin', last='Yao')",iFLYTEK Research
"Name(first='Shijin', last='Wang')",iFLYTEK Research
"Name(first='Zhaoyi', last='Li')",University of Science and Technology of China
"Name(first='Ying', last='Wei')",City University of Hong Kong
"Name(first='Defu', last='Lian')",University of Science and Technology of China
"Name(first='Guanqun', last='Bi')","Institute of Information Engineering, Chinese Academy of Sciences; School of Cyber Security, University of Chinese Academy of Sciences"
"Name(first='Lei', last='Shen')",JD AI
"Name(first='Meng', last='Chen')",JD AI
"Name(first='Yuqiang', last='Xie')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Xiaodong', last='He')",JD AI Research; CAS
"Name(first='Seungpil', last='Won')",Seoul National University
"Name(first='Heeyoung', last='Kwak')","NAVER AI Lab, NAVER Digital Healthcare Lab"
"Name(first='Joongbo', last='Shin')",LG AI Research
"Name(first='Janghoon', last='Han')",LG AI Research
"Name(first='Kyomin', last='Jung')",Seoul National University
"Name(first='Zhuoer', last='Wang')",Texas A&M University
"Name(first='Marcus', last='Collins')","Amazon, Inc."
"Name(first='Nikhita', last='Vedula')",Amazon
"Name(first='Simone', last='Filice')",Amazon.com
"Name(first='Shervin', last='Malmasi')",Amazon
"Name(first='Oleg', last='Rokhlenko')",Amazon Research
"Name(first='Li', last='Du')",HIT; Johns Hopkins University
"Name(first='Xiao', last='Ding')",HARBIN INSTITUTE OF TECHNOLOGY
"Name(first='Zhouhao', last='Sun')",HARBIN INSTITUTE OF TECHNOLOGY
"Name(first='Ting', last='Liu')",HARBIN INSTITUTE OF TECHNOLOGY; Shanghai Jiao Tong University
"Name(first='Bing', last='Qin')",HARBIN INSTITUTE OF TECHNOLOGY; Unknown
"Name(first='Jingshuo', last='Liu')",HARBIN INSTITUTE OF TECHNOLOGY
"Name(first='Lijun', last='Wu')",Microsoft Research
"Name(first='Ziqiang', last='Cao')",Soochow University
"Name(first='Anthony', last='Sicilia')",University of Pittsburgh
"Name(first='Malihe', last='Alikhani')",University of Pittsburgh
"Name(first='Ke', last='Ji')",Southeast University
"Name(first='Yixin', last='Lian')",Xiaobing.ai
"Name(first='Jingsheng', last='Gao')",Shanghai Jiao Tong University
"Name(first='Baoyuan', last='Wang')",Xiaobing.ai
"Name(first='Yunlong', last='Liang')",Beijing Jiaotong University
"Name(first='Jinan', last='Xu')",Beijing Jiaotong University
"Name(first='Jiaan', last='Wang')","School of Computer Science and Technology, Soochow University, Suzhou, China"
"Name(first='Yufeng', last='Chen')",Beijing Jiaotong University
"Name(first='Giuseppe', last='Russo')",ETH Zürich
"Name(first='Christoph', last='Gote')",ETH Zurich
"Name(first='Laurence', last='Brandenberger')",ETH Zurich
"Name(first='Sophia', last='Schlosser')",ETH Zurich
"Name(first='Frank', last='Schweitzer')",ETH Zurich
"Name(first='Wendi', last='Li')",Huazhong University of Science and Technology
"Name(first='Wei', last='Wei')",Huazhong University of Science and Technology
"Name(first='Xiaoye', last='Qu')",Huawei Tech.
"Name(first='Xian-Ling', last='Mao')",Beijing Institute of Technology
"Name(first='Ye', last='Yuan')","peking university; Ping An Property & Casualty Insurance Company, Ltd"
"Name(first='Wenfeng', last='Xie')","Ping An Property & Casualty Insurance Company, Ltd"
"Name(first='Dangyang', last='Chen')",Pingan Group
"Name(first='Liang', last='Li')","Nayuan Technology Co., Ltd.; Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Ruiying', last='Geng')",Alibaba Group
"Name(first='Chengyang', last='Fang')","Institute of Information Engineering, Chinese Academy of Sciences; School of Cyber Security, University of Chinese Academy of Sciences"
"Name(first='Bing', last='Li')","The Agency for Science, Technology and Research (A*STAR), Singapore; Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Can', last='Ma')","Institute of Information Engineering, CAS"
"Name(first='Rongyu', last='Cao')",Alibaba Group
"Name(first='Binhua', last='Li')",Alibaba Group
"Name(first='Fei', last='Huang')",Tsinghua university; Alibaba Damo Academy
"Name(first='Jakub', last='Piskorski')",Polish Academy of Sciences
"Name(first='Nicolas', last='Stefanovitch')",Joint Research Centre
"Name(first='Nikolaos', last='Nikolaidis')",Athens University of Economics and Business
"Name(first='Giovanni', last='Da San Martino')",University of Padova
"Name(first='Preslav', last='Nakov')",Mohamed bin Zayed University of Artificial Intelligence
"Name(first='Te-Lin', last='Wu')","University of California, Los Angeles"
"Name(first='Caiqi', last='Zhang')",University of Cambridge
"Name(first='Qingyuan', last='Hu')",University of California Los Angeles
"Name(first='Alexander', last='Spangher')",University of Southern California
"Name(first='Nanyun', last='Peng')","University of California, Los Angeles"
"Name(first='Yulun', last='Du')",Recurrent AI
"Name(first='Lydia', last='Chilton')",columbia university
"Name(first='Fan', last='Yin')",UCLA
"Name(first='Jesse', last='Vig')",Salesforce Research
"Name(first='Philippe', last='Laban')",Salesforce Research
"Name(first='Shafiq', last='Joty')",Nanyang Technological University; Salesforce AI Research
"Name(first='Caiming', last='Xiong')",Salesforce
"Name(first='Chien-Sheng', last='Wu')",Salesforce
"Name(first='Weiqi', last='Wu')","School of Information Science and Technology, ShanghaiTech University"
"Name(first='Chengyue', last='Jiang')",ShanghaiTech University
"Name(first='Yong', last='Jiang')",Tsinghua university; Alibaba Damo Academy; Alibaba Group
"Name(first='Pengjun', last='Xie')",Alibaba Group
"Name(first='Kewei', last='Tu')",ShanghaiTech University
"Name(first='Chang', last='Liu')",peking university
"Name(first='Jingyi', last='Chen')",The Ohio State University
"Name(first='Micha', last='Elsner')",The Ohio State University
"Name(first='Mario', last='Giulianelli')",University of Amsterdam
"Name(first='Iris', last='Luden')",University of Amsterdam
"Name(first='Raquel', last='Fernandez')","ILLC, University of Amsterdam"
"Name(first='Andrey', last='Kutuzov')",University of Oslo
"Name(first='Hao', last='Yan')",George Mason University
"Name(first='Saurabh', last='Srivastava')",George Mason University
"Name(first='Yintao', last='Tai')",University Of Edinburgh
"Name(first='Sida I.', last='Wang')",Facebook AI Research
"Name(first='Wen-tau', last='Yih')",Meta AI - FAIR
"Name(first='Ziyu', last='Yao')",George Mason University
"Name(first='Anwen', last='Hu')",RENMIN UNIVERSITY of CHINA
"Name(first='Shizhe', last='Chen')",INRIA
"Name(first='Liang', last='Zhang')",RENMIN UNIVERSITY of CHINA
"Name(first='Carolina', last='Zheng')",columbia university
"Name(first='Claudia', last='Shi')",columbia university
"Name(first='Keyon', last='Vafa')",columbia university
"Name(first='Amir', last='Feder')",columbia university
"Name(first='David', last='Blei')",columbia university
"Name(first='Soyoung', last='Yang')",KAIST
"Name(first='Minseok', last='Choi')",KAIST
"Name(first='Youngwoo', last='Cho')",KAIST
"Name(first='Jaegul', last='Choo')",KAIST
"Name(first='Fangyuan', last='Xu')",The University of Texas at Austin
"Name(first='Yixiao', last='Song')",University of Massachusetts Amherst
"Name(first='Mohit', last='Iyyer')",University of Massachusetts Amherst
"Name(first='Eunsol', last='Choi')",The University of Texas at Austin
"Name(first='Hongyi', last='Yuan')",Tsinghua university
"Name(first='Zheng', last='Yuan')","King’s College London; Istituto Italiano di Tecnologia, Universit di Ferrara, Italy; Alibaba Group"
"Name(first='Chuanqi', last='Tan')",Alibaba Group
"Name(first='Songfang', last='Huang')",Alibaba Damo Academy
"Name(first='Pengshan', last='Cai')","University of Massachusetts, Amherst"
"Name(first='Kaiqiang', last='Song')",Tencent AI LAB
"Name(first='Sangwoo', last='Cho')",Tecent AI Lab
"Name(first='Hongwei', last='Wang')",Zhejiang University-University of Illinois at Urbana-Champaign Institute; Tencent AI LAB
"Name(first='Xiaoyang', last='Wang')",Tencent AI LAB
"Name(first='Fei', last='Liu')",Emory University; Google
"Name(first='Lei', last='Yu')",University of Toronto; Beihang university; DeepMind
"Name(first='Yongkang', last='Liu')",Northeastern University; lmu
"Name(first='Shi', last='Feng')",University of Chicago; Northeastern University
"Name(first='Daling', last='Wang')",Northeastern University
"Name(first='Yifei', last='Zhang')",Northeastern University
"Name(first='Meiqi', last='Guo')",University of Pittsburgh
"Name(first='Rebecca', last='Hwa')",University of Pittsburgh
"Name(first='Adriana', last='Kovashka')",University of Pittsburgh
"Name(first='Longyue', last='Wang')",Tencent AI LAB
"Name(first='Siyou', last='Liu')",Macao Polytechnic University
"Name(first='Mingzhou', last='Xu')",University of Macau
"Name(first='Shuming', last='Shi')",Tencent AI LAB
"Name(first='Zhaopeng', last='Tu')",Tencent AI LAB
"Name(first='Davide', last='Testa')",University of Pisa
"Name(first='Emmanuele', last='Chersoni')",Hong Kong Polytechnic University
"Name(first='Alessandro', last='Lenci')",University of Pisa
"Name(first='Jaewoo', last='Ahn')",Seoul National University
"Name(first='Yeda', last='Song')",Seoul National University
"Name(first='Sangdoo', last='Yun')",Naver AI Lab
"Name(first='Gunhee', last='Kim')",Seoul National University
"Name(first='Kevin', last='Yang')",UC Berkeley
"Name(first='Yuandong', last='Tian')",Meta AI (FAIR)
"Name(first='Ziheng', last='Li')",peking university
"Name(first='Shaohan', last='Huang')",Microsoft Research Asia
"Name(first='Zihan', last='Zhang')",Microsoft
"Name(first='Zhi-Hong', last='Deng')",peking university
"Name(first='Qiang', last='Lou')",Microsoft
"Name(first='Haizhen', last='Huang')",Microsoft
"Name(first='Jian', last='Jiao')",Microsoft
"Name(first='Weiwei', last='Deng')",Microsoft
"Name(first='Zhibin', last='Lan')",Xiamen University
"Name(first='Jiawei', last='Yu')",Xiamen University
"Name(first='Xiang', last='Li')","xiaomi ai lab; East China Normal University; Amazon; Institute of Automation, Chinese Acadamey of Sciences"
"Name(first='Wen', last='Zhang')","Microsoft Search Technology Center Asia; xiaomi ai lab; The Graduate Center, City University of New York"
"Name(first='Jian', last='Luan')",xiaomi ai lab
"Name(first='Degen', last='Huang')",Dalian university of technology
"Name(first='Jinsong', last='Su')",Xiamen University
"Name(first='Zhuo', last='Zhang')","Harbin Institute of Technology, Shenzhen"
"Name(first='Xiangjing', last='Hu')","Harbin Institute of Technology, Shenzhen"
"Name(first='Jingyuan', last='Zhang')",Alibaba Group
"Name(first='Yating', last='Zhang')",Alibaba Group
"Name(first='Hui', last='Wang')","Speech Lab, Alibaba Group; PengCheng laboratory"
"Name(first='Lizhen', last='Qu')",Monash University
"Name(first='Naibin', last='Gu')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Peng', last='Fu')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Xiyu', last='Liu')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Zhengxiao', last='Liu')","Institute of Information Engineering, CAS"
"Name(first='Weiping', last='Wang')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Yang', last='Li')","School of Finance, Shanxi University of Finance and Economics; Shanghai Jiaotong University; Amazon AI Lab; Beihang university; Ant Group"
"Name(first='Liwei', last='Deng')",UESTC
"Name(first='Bowen', last='Li')",Tsinghua university
"Name(first='Binyuan', last='Hui')",Alibaba Group
"Name(first='Yan', last='Zhang')",peking university
"Name(first='Zhibin', last='Chen')",peking university
"Name(first='Yansong', last='Feng')",peking university
"Name(first='Nuo', last='Chen')","East China Normal University; School of ECE, Peking Univesity"
"Name(first='Linjun', last='Shou')",Microsoft STCA
"Name(first='Jian', last='Pei')",Simon Fraser University
"Name(first='Bowen', last='Cao')",peking university
"Name(first='Jianhui', last='Chang')",peking university
"Name(first='Yeskendir', last='Koishekenov')",University of Amsterdam
"Name(first='Alexandre', last='Berard')",Naver Labs Europe
"Name(first='Vassilina', last='Nikoulina')",Naver Labs Europe
"Name(first='Christopher', last='Hidey')",Google
"Name(first='Eric', last='Zhu')",Google
"Name(first='Rahul', last='Goel')",Google
"Name(first='Rushin', last='Shah')",Google
"Name(first='Li', last='Sun')",Boston University
"Name(first='Florian', last='Luisier')",Microsoft
"Name(first='Kayhan', last='Batmanghelich')",Boston University
"Name(first='Dinei', last='Florencio')",Microsoft
"Name(first='Cha', last='Zhang')",Microsoft
"Name(first='Yu', last='Song')",University of Montreal
"Name(first='Santiago', last='Miret')",Intel Labs
"Name(first='Xingyao', last='Wang')",University of Illinois Urbana-Champaign
"Name(first='Sha', last='Li')",University of Illinois Urbana-Champaign
"Name(first='Tanmay', last='Parekh')",University of California Los Angeles
"Name(first='I-Hung', last='Hsu')",USC Information Sciences Institute
"Name(first='Kuan-Hao', last='Huang')","University of California, Los Angeles"
"Name(first='Andreas', last='Opedal')",ETH Zurich
"Name(first='Ran', last='Zmigrod')",University of Cambridge
"Name(first='Tim', last='Vieira')",Johns Hopkins University
"Name(first='Jason', last='Eisner')",Johns Hopkins University + Microsoft Corporation
"Name(first='Alexander', last='Scarlatos')",University of Massachusetts Amherst
"Name(first='Andrew', last='Lan')",University of Massachusetts Amherst
"Name(first='Jipeng', last='Qiang')",Yangzhou University
"Name(first='Yun', last='Li')",Yangzhou University
"Name(first='Yunhao', last='Yuan')",Yangzhou University
"Name(first='Junru', last='Song')",RENMIN UNIVERSITY of CHINA
"Name(first='Feifei', last='Wang')",RENMIN UNIVERSITY of CHINA
"Name(first='Yang', last='Yang')",Chinese Academy of Military Science; Meituan
"Name(first='Wanyun', last='Cui')",Shanghai University of Finance and Economics
"Name(first='Xingran', last='Chen')",University of Michigan
"Name(first='Yunhua', last='Zhou')",fudan university
"Name(first='Guofeng', last='Quan')",fudan university
"Name(first='Leonhard', last='Hennig')",German Research Center for Artificial Intelligence (DFKI)
"Name(first='Philippe', last='Thomas')",German Research Center for Artificial Intelligence
"Name(first='Sebastian', last='Möller')","Quality and Usability Lab, TU Berlin"
"Name(first='Yichong', last='Huang')",HARBIN INSTITUTE OF TECHNOLOGY
"Name(first='Xiaocheng', last='Feng')","Harbin Institute of Technology, SCIR lab"
"Name(first='Xinwei', last='Geng')",HARBIN INSTITUTE OF TECHNOLOGY
"Name(first='Baohang', last='Li')",HARBIN INSTITUTE OF TECHNOLOGY
"Name(first='Ze-Feng', last='Gao')",RENMIN UNIVERSITY of CHINA
"Name(first='Kun', last='Zhou')",RENMIN UNIVERSITY of CHINA
"Name(first='Peiyu', last='Liu')",RENMIN UNIVERSITY of CHINA
"Name(first='Wayne Xin', last='Zhao')",RUC
"Name(first='Ji-Rong', last='Wen')",RENMIN UNIVERSITY of CHINA
"Name(first='Najoung', last='Kim')",Boston University
"Name(first='Sebastian', last='Schuster')",Saarland University
"Name(first='Naoki', last='Otani')",Unknown; Carnegie Mellon University
"Name(first='Jun', last='Araki')",Unknown; Bosch Research
"Name(first='HyeongSik', last='Kim')",Unknown; Robert Bosch LLC
"Name(first='Eduard', last='Hovy')",University of Melbourne
"Name(first='Yongliang', last='Shen')",Zhejiang University
"Name(first='Kaitao', last='Song')",Microsoft Research
"Name(first='Xu', last='Tan')",Microsoft Research Asia
"Name(first='Weiming', last='Lu')",Zhejiang University
"Name(first='Yueting', last='Zhuang')",Zhejiang University
"Name(first='Siqi', last='Ouyang')","University of California, Santa Barbara"
"Name(first='Rong', last='Ye')",Bytedance AI Lab
"Name(first='Lei', last='Li')",East China Normal University; Tsinghua university; peking university; University of California Santa Barbara; huawei
"Name(first='Meryem', last='M’hamdi')",University of Southern California
"Name(first='Jonathan', last='May')",USC Information Sciences Institute
"Name(first='Ruixin', last='Hong')",Tsinghua university
"Name(first='Hongming', last='Zhang')","Tencent AI Lab, Bellevue"
"Name(first='Hong', last='Zhao')",Tsinghua university
"Name(first='Changshui', last='Zhang')",Tsinghua university
"Name(first='Yuki', last='Arase')",Osaka University
"Name(first='Han', last='Bao')",Kyoto University
"Name(first='Sho', last='Yokoi')",Tohoku University / RIKEN
"Name(first='Yong Keong', last='Yap')",DSO National Laboratories
"Name(first='Hai Leong', last='Chieu')",DSO National Laboratories
"Name(first='Nancy', last='Chen')","Institute for Infocomm Research, A*STAR"
"Name(first='Yiduo', last='Guo')",peking university
"Name(first='Yaobo', last='Liang')",Microsoft.com
"Name(first='Bing', last='Liu')",University of Illinois at Chicago; Facebook
"Name(first='Ran', last='Zhou')",Nanyang Technological University
"Name(first='Xin', last='Li')",Alibaba Group
"Name(first='Lidong', last='Bing')",Alibaba Damo Academy
"Name(first='Chunyan', last='Miao')",Nanyang Technological University Singapore
"Name(first='Letitia', last='Parcalabescu')",Heidelberg University
"Name(first='Anette', last='Frank')",Heidelberg University
"Name(first='Hua', last='Lu')",Baidu Inc.
"Name(first='Haifeng', last='Wang')",baidu
"Name(first='Yang', last='Deng')",The Chinese University of Hong Kong; Unknown
"Name(first='Wenxuan', last='Zhang')","Damo Academy, Alibaba Group"
"Name(first='Yifei', last='Yuan')",The Chinese University of Hong Kong
"Name(first='Wai', last='Lam')",The Chinese University of Hong Kong
"Name(first='Hang', last='Yan')",fudan university
"Name(first='Yu', last='Sun')",fudan university; Unknown; baidu
"Name(first='Xiaonan', last='Li')",fudan university
"Name(first='Ali', last='Omrani')",University of Southern California
"Name(first='Alireza', last='Salkhordeh Ziabari')",University of Southern California
"Name(first='Charles', last='Yu')",University of Illinois Urbana-Champaign
"Name(first='Preni', last='Golazizian')",University of Southern California
"Name(first='Brendan', last='Kennedy')",Unknown
"Name(first='Mohammad', last='Atari')",University of Southern California
"Name(first='Morteza', last='Dehghani')",University of Southern California
"Name(first='Yixin', last='Liu')",Yale University
"Name(first='Pengfei', last='Liu')",Carnegie Mellon University
"Name(first='Yilun', last='Zhao')",Yale University
"Name(first='Linyong', last='Nan')",Yale University
"Name(first='Ruilin', last='Han')",Yale University
"Name(first='Simeng', last='Han')",Yale University
"Name(first='Dragomir', last='Radev')",Yale University
"Name(first='Andrew', last='Zhu')",University of Pennsylvania
"Name(first='Karmanya', last='Aggarwal')",University of Pennsylvania
"Name(first='Alexander', last='Feng')",University of Pennsylvania
"Name(first='Lara J.', last='Martin')","University of Maryland, Baltimore County"
"Name(first='Chris', last='Callison-Burch')",University of Pennsylvania
"Name(first='Jennifer', last='Hu')",Massachusetts Institute of Technology
"Name(first='Sammy', last='Floyd')",Sarah Lawrence College
"Name(first='Olessia', last='Jouravlev')",MIT
"Name(first='Evelina', last='Fedorenko')",MIT
"Name(first='Edward', last='Gibson')",MIT
"Name(first='Wangzhen', last='Guo')",Sun yat-sen university
"Name(first='Qinkang', last='Gong')",Sun yat-sen university
"Name(first='Yanghui', last='Rao')","School of Computer Science and Engineering, Sun Yat-sen University"
"Name(first='Hanjiang', last='Lai')",Sun yat-sen university
"Name(first='Fan', last='Zhou')",University of Electronic Science and Technology of China
"Name(first='Yuzhou', last='Mao')",University of Electronic Science and Technology of China
"Name(first='Liu', last='Yu')",University of Electronic Science and Technology of China
"Name(first='Yi', last='Yang')",Hong Kong University of Science and Technology; Zhejiang University
"Name(first='Ting', last='Zhong')",University of Electronic Science and Technology of China
"Name(first='Baohao', last='Liao')",University of Amsterdam
"Name(first='Yan', last='Meng')",University of Amsterdam
"Name(first='Christof', last='Monz')",University of Amsterdam
"Name(first='Jinyuan', last='Fang')",University of Glasgow
"Name(first='Xiaobin', last='Wang')",Alibaba Group
"Name(first='Zaiqiao', last='Meng')",University of Glasgow; Unknown
"Name(first='Jack', last='FitzGerald')",Amazon.com
"Name(first='Christopher', last='Hench')",Amazon
"Name(first='Charith', last='Peris')",Amazon Alexa; Amazon
"Name(first='Scott', last='Mackie')",Amazon
"Name(first='Kay', last='Rottmann')",Amazon; Amazon Alexa AI
"Name(first='Ana', last='Sanchez')",Amazon
"Name(first='Aaron', last='Nash')",Amazon
"Name(first='Liam', last='Urbach')",Amazon
"Name(first='Vishesh', last='Kakarala')",Amazon
"Name(first='Richa', last='Singh')",Amazon
"Name(first='Swetha', last='Ranganath')",Microsoft
"Name(first='Laurie', last='Crist')",Tripadvisor
"Name(first='Misha', last='Britan')",Amazon
"Name(first='Wouter', last='Leeuwis')",Amazon
"Name(first='Gokhan', last='Tur')",Amazon
"Name(first='Prem', last='Natarajan')",Capital One; Amazon / Alexa
"Name(first='Siyu', last='Yuan')",fudan university
"Name(first='Jiangjie', last='Chen')",fudan university
"Name(first='Ziquan', last='Fu')","System, Inc"
"Name(first='Xuyang', last='Ge')",18017892490
"Name(first='Soham', last='Shah')","Brain Technologies, Inc."
"Name(first='Charles', last='Jankowski')",CloudMinds Technology
"Name(first='Yanghua', last='Xiao')",fudan university
"Name(first='Deqing', last='Yang')",fudan university
"Name(first='\u202aPere-Lluís', last='Huguet Cabot')",Sapienza University of Rome
"Name(first='Simone', last='Tedeschi')",Babelscape
"Name(first='Axel-Cyrille', last='Ngonga Ngomo')",Paderborn University
"Name(first='Roberto', last='Navigli')",Sapienza University of Rome
"Name(first='Timon', last='Ziegenbein')",Leibniz University Hannover
"Name(first='Shahbaz', last='Syed')",Leipzig University
"Name(first='Felix', last='Lange')",Paderborn University
"Name(first='Martin', last='Potthast')",Leipzig University
"Name(first='Henning', last='Wachsmuth')",Leibniz University Hannover
"Name(first='Hyunsoo', last='Cho')",Seoul National University
"Name(first='Youna', last='Kim')",Seoul National University
"Name(first='Sang-goo', last='Lee')",Seoul National University
"Name(first='Zhibin', last='Gou')",Tsinghua university
"Name(first='Qingyan', last='Guo')",Tsinghua university
"Name(first='Yujiu', last='Yang')",tsinghua.edu.cn
"Name(first='Sarik', last='Ghazarian')",University of Southern California
"Name(first='Yijia', last='Shao')",peking university
"Name(first='Rujun', last='Han')",Amazon
"Name(first='Aram', last='Galstyan')",USC Information Sciences Institute
"Name(first='Josh Magnus', last='Ludan')",University of Pennsylvania
"Name(first='Yixuan', last='Meng')",University of Pennsylvania
"Name(first='Tai', last='Nguyen')",University of Pennsylvania
"Name(first='Saurabh', last='Shah')",University of Pennsylvania
"Name(first='Qing', last='Lyu')",University of Pennsylvania
"Name(first='Marianna', last='Apidianaki')",University of Pennsylvania
"Name(first='Yang', last='Luo')",National University of Singapore
"Name(first='Xiaozhe', last='Ren')",Huawei Noah’s Ark Lab
"Name(first='Zangwei', last='Zheng')",National University of Singapore
"Name(first='Zhuo', last='Jiang')",NUS
"Name(first='Omar', last='Shaikh')",Stanford University
"Name(first='Hongxin', last='Zhang')",Shanghai Jiao Tong University
"Name(first='Michael', last='Bernstein')",Stanford University
"Name(first='Xinyu', last='Zhu')","Shenzhen International Graduate School, Tsinghua University"
"Name(first='Junjie', last='Wang')",Waseda University
"Name(first='Lin', last='Zhang')",International Digital Economy Academy
"Name(first='Yuxiang', last='Zhang')",Waseda University
"Name(first='Yongfeng', last='Huang')",The Chinese University of Hong Kong (CUHK)
"Name(first='Ruyi', last='Gan')",13249879077
"Name(first='Jiaxing', last='Zhang')",IDEA Research
"Name(first='Chantal', last='Amrhein')","Department of Computational Linguistics, University of Zurich"
"Name(first='Florian', last='Schottmann')","TextShuttle, ETH Zurich"
"Name(first='Rico', last='Sennrich')",University of Zurich
"Name(first='Samuel', last='Läubli')",University of Zurich
"Name(first='Satoshi', last='Akasaki')",Yahoo Japan Corporation
"Name(first='Naoki', last='Yoshinaga')","Institute of Industrial Science, The University of Tokyo"
"Name(first='Masashi', last='Toyoda')",The University of Tokyo
"Name(first='Zhengfu', last='He')",fudan university
"Name(first='Tianxiang', last='Sun')",fudan university
"Name(first='Qiong', last='Tang')",fudan university
"Name(first='Kuanning', last='Wang')",fudan university
"Name(first='Chen', last='Zhang')",Beijing Institute of Technology; peking university
"Name(first='Jiahao', last='Liu')",Meituan
"Name(first='Yunsen', last='Xian')",Meituan
"Name(first='Dawei', last='Song')",Beijing Institute of Technology
"Name(first='Yifan', last='Deng')",University of Chinese Academy of Sciences
"Name(first='Xingsheng', last='Zhang')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Heyan', last='Huang')",Beijing Institute of Technology
"Name(first='Yue', last='Hu')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Qingkai', last='Fang')","Institute of Computing Technology, Chinese Academy of Sciences"
"Name(first='Taha', last='Aksu')","Institute for Infocomm Research, A*STAR / School of Computing, National University of Singapore"
"Name(first='Chen', last='Tang')","Department of Computer Science, University of Surrey"
"Name(first='Hongbo', last='Zhang')","Department of Computer Science, University of Sheffield"
"Name(first='Tyler', last='Loakman')",The University of Sheffield
"Name(first='Frank', last='Guerin')",University of Surrey
"Name(first='Mengze', last='Li')",Zhejiang University
"Name(first='Tianbao', last='Wang')",Zhejiang University
"Name(first='Jiahe', last='Xu')",Zhejiang University
"Name(first='Kairong', last='Han')",Zhejiang University
"Name(first='Shengyu', last='Zhang')",Zhejiang University
"Name(first='Zhou', last='Zhao')",Zhejiang University
"Name(first='Jiaxu', last='Miao')",Zhejiang University
"Name(first='Wenqiao', last='Zhang')",Zhejiang University
"Name(first='Shiliang', last='Pu')",Hikvision Research Institute
"Name(first='Fei', last='Wu')",Zhejiang University
"Name(first='Weinan', last='He')",Sun yat-sen university
"Name(first='Canming', last='Huang')",Sun yat-sen university
"Name(first='Zhanhao', last='Xiao')",Guangdong Polytechnic Normal University
"Name(first='Yongmei', last='Liu')",Sun yat-sen university
"Name(first='Kai', last='Lv')",fudan university
"Name(first='Tianyang', last='Lin')",fudan university
"Name(first='Wei', last='Zhu')",East China Normal University
"Name(first='Yuan', last='Ni')",Pingan
"Name(first='Guotong', last='Xie')",PINGAN TECHNOLOGY
"Name(first='Xiaoling', last='Wang')",East China Normal University
"Name(first='Zihao', last='Yue')",RENMIN UNIVERSITY of CHINA
"Name(first='Ziheng', last='Wang')",RENMIN UNIVERSITY of CHINA
"Name(first='Lvxiaowei', last='Xu')",Zhejiang University
"Name(first='Jianwang', last='Wu')",Zhejiang University
"Name(first='Jiawei', last='Peng')",Southeast University; Zhejiang University
"Name(first='Zhilin', last='Gong')",Zhejiang University
"Name(first='Ming', last='Cai')",Zhejiang University
