paper_id,award,venue,category
271516633,Best Resource Paper Award,ACL,Best Thematic/Resource/Impact Paper
266820764,Outstanding Paper Award,ACL,Outstanding Paper
265213060,Outstanding Paper Award,ACL,Outstanding Paper
265213060,SAC Award: Generation,ACL,Area Chair/SAC Award
272336901,Outstanding Paper Award,ACL,Outstanding Paper
266210093,Outstanding Paper Award,ACL,Outstanding Paper
270391485,Outstanding Paper Award,ACL,Outstanding Paper
258865272,Best Social Impact Paper Award,ACL,Best Thematic/Resource/Impact Paper
258832702,Outstanding Paper Award,ACL,Outstanding Paper
269921650,Outstanding Paper Award,ACL,Outstanding Paper
269921650,Outstanding Paper Award,ACL,Outstanding Paper
268230397,Outstanding Paper Award,ACL,Outstanding Paper
268230397,"SAC Award: Phonology, Morphology and Word Segmentation",ACL,Area Chair/SAC Award
268230695,Outstanding Paper Award,ACL,Outstanding Paper
267365100,Outstanding Paper Award,EMNLP,Outstanding Paper
268793780,Outstanding Paper Award,EMNLP,Outstanding Paper
267760101,Best Paper Award,EMNLP,Best Overall Paper
269502502,Outstanding Paper Award,EMNLP,Outstanding Paper
270559936,Outstanding Paper Award,EMNLP,Outstanding Paper
269293024,Resource Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
265213409,Outstanding Paper Award,EMNLP,Outstanding Paper
272827681,Social Impact Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
273186473,Resource Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
272827783,Best Paper Award,EMNLP,Best Overall Paper
273186788,Outstanding Paper Award,EMNLP,Outstanding Paper
270391533,Outstanding Paper Award,EMNLP,Outstanding Paper
270688244,Outstanding Paper Award,EMNLP,Outstanding Paper
270869791,Best Paper Award,EMNLP,Best Overall Paper
269921608,Best Paper Award,EMNLP,Best Overall Paper
269635705,Outstanding Paper Award,EMNLP,Outstanding Paper
272593197,Outstanding Paper Award,EMNLP,Outstanding Paper
271974728,Best Paper Award,EMNLP,Best Overall Paper
270688179,Outstanding Paper Award,EMNLP,Outstanding Paper
270620029,Outstanding Paper Award,EMNLP,Outstanding Paper
273482421,Outstanding Paper Award,EMNLP,Outstanding Paper
270562571,Outstanding Paper Award,EMNLP,Outstanding Paper
271270813,Outstanding Paper Award,EMNLP,Outstanding Paper
273654265,Outstanding Paper Award,EMNLP,Outstanding Paper
273022932,Social Impact Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
273375592,Outstanding Paper Award,EMNLP,Outstanding Paper
270703315,Special Theme Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
273820312,Outstanding Paper Award,EMNLP,Outstanding Paper
269187593,Outstanding Paper Award,EMNLP,Outstanding Paper
268041370,Social Impact Paper Award,EMNLP,Best Thematic/Resource/Impact Paper
273901500,Outstanding Paper Award,EMNLP,Outstanding Paper
271720271,Best Demo Paper Award,EMNLP,Best Demo Paper
263829946,Outstanding Demo Paper Award,EMNLP,Best Demo Paper
202538609,Best Paper Runner-Up,EMNLP,Best Paper Runner-Up
202767426,Best Paper,EMNLP,Best Overall Paper
263883936,Best Resource Paper,EMNLP,Best Thematic/Resource/Impact Paper
202712654,Best Demo paper,EMNLP,Best Demo Paper
457176,Best Paper,ACL,Best Overall Paper
90111,Best Paper,ACL,Best Overall Paper
284436,Best Paper,ACL,Best Overall Paper
11080756,NAACL 2018 Test-of-Time,ACL,Test-of-Time Award
11495042,Best Paper,ACL,Best Overall Paper
1044865,Best Paper,ACL,Best Overall Paper
384994,Best Paper,ACL,Best Overall Paper
160009896,Outstanding Paper,ACL,Outstanding Paper
174798293,Outstanding Paper,ACL,Outstanding Paper
196208241,Outstanding Paper,ACL,Outstanding Paper
196189229,Outstanding Paper,ACL,Outstanding Paper
189999659,Outstanding Paper,ACL,Outstanding Paper
196177554,Best Short Paper,ACL,Best Short Paper
174802848,Best Long Paper,ACL,Best Overall Paper
67856167,Best Demo Paper,ACL,Best Demo Paper
1487550,ACL 2020 Test-of-Time Award (25 years),ACL,Test-of-Time Award
1345,ACL 2022 25-Year Test of Time,ACL,Test-of-Time Award
751575,ACL 2022 25-Year Test of Time,ACL,Test-of-Time Award
2680971,ACL 25-Year Test of Time Paper Award,ACL,Test-of-Time Award
10888973,Best Paper,EMNLP,Best Overall Paper
10888973,NAACL 2018 Test-of-Time Award,EMNLP,Test-of-Time Award
7105713,NAACL 2018 Test-of-Time Award,EMNLP,Test-of-Time Award
1625546,NAACL 2018 Test-of-Time Award,EMNLP,Test-of-Time Award
131773929,Best Explainable NLP Paper,NAACL,Specific Contribution Award
53296520,Best Resource Paper,NAACL,Best Thematic/Resource/Impact Paper
84842989,Best Short Paper,NAACL,Best Short Paper
52967399,Best Long Paper,NAACL,Best Overall Paper
131773759,Best Thematic Paper,NAACL,Best Thematic/Resource/Impact Paper
