researcher_id,first_name,last_name,h_index,total_citations,latest_affiliation,homepage
10196196,C.,Montgomery,10,418,,
10197529,Janarthanan,Rajendran,12,508,,
102030571,G.,Angelova,2,104,,
102076291,Yuji,Sawai,1,3,,
10213745,M.,Pollack,52,12609,,
102206853,Dhanasekaran,,4,64,,
10220743,Sumeet,Singh,33,5578,,
102222453,A.,Benhaim,9,1568,,
102229040,Gary,Farmaner,1,8,,
102247492,Faculdade,Lisboa,4,76,,
102251951,Adrien,Bazoge,6,332,Nantes Université,
102253939,Brandon,McKinzie,4,315,,
102262203,Si-Qi,Tang,7,249,,
102320235,Hao,Yang,36,6319,,
10237116,G.,Yang,27,3811,,
102376484,Yotam,Perlitz,6,160,,
102377563,Yoshio,Nakao,3,52,,
10238549,Tianlin,Shi,10,1521,,
102413194,Jupinder,Parmar,7,197,,
10241715,Amandla,Mabona,5,1169,,
102429215,Kai-Fu,Lee,34,5942,,
10245677,Varun,Khurana,17,1095,,
10245861,A.,Ghodsi,8,211,,
102487474,Tiwalayo,Eisape,6,97,,
102489044,Jianing,Zhou,5,76,,
102500367,Shu-Kai,Zheng,3,35,,
102501957,A.,Podolskiy,8,298,,
102524625,Greg,Burnham,2,69,Elemental Cognition,
102529478,F.,Genet,8,443,,
102536922,Sam,Davidson,11,247,"University of California, Davis",
102540266,Se,Joo,6,235,KAIST,
102549875,Aitor,Lewkowycz,32,15133,,
102551486,E.,Nadler,25,1950,,
102568656,Tom,Pelsmaeker,1,29,,
10258164,Sopan,Khosla,9,383,,
102589705,Dan,Padnos,7,347,,
102622146,Junjie,Luo,4,154,,
102629714,East,University,2,77,,
102648923,Charith,Peris,9,533,Amazon,
102649445,Eleftheria,Tsipidi,2,25,,
102663176,Saeideh,Esfahani,2,26,,
102669988,Mokanarangan,Thayaparan,8,187,University of Manchester,
102700312,School,Science,28,2708,,
102707804,Michael,Twiton,3,455,,
102711702,Shota,Nakada,4,30,,
102786751,José,Deulofeu,4,92,,
102793124,C.,Eichenberg,5,152,,
102811815,Marcello,Federico,50,15951,Amazon AI,www.marcellofederico.net
102822751,Lukas,Stoetzer,11,545,,
102849249,Reda,Boumasmoud,2,15,,
102872728,Xi,Wang,8,267,University of Sheffield,http://www.xiwangeric.com/
102896535,Xiang,Wu,2,11,,
102914307,D.,Kuehner,3,424,,
102930249,Seung-kook,Ryu,1,4,,
102930251,Su-Rin,Ryu,1,4,,
102946994,D.,Muchlinski,9,677,,
10297565,Jinzhu,Lu,9,814,,
102998695,Sujay,Khandagale,5,413,,
103010588,Zhong,Zhang,9,210,University of Electronic Science and Technology of China,https://zhongzhang.me
103014010,Eojin,Jeon,2,6,,
103016698,Instituto,T'ecnico,8,379,,
103022133,Jacob,Bremerman,3,211,"University of Maryland, College Park",
10305789,M.,Sarol,7,92,,
103065244,Peilin,Liang,3,43,,
103080663,Vilhelm,Ehrenheim,4,29,,
103083101,C.,Lisboa,4,488,,
103092912,Zhijie,Sang,2,8,,
103126567,C.,University,19,2928,,
103138865,Pierre,Finnimore,1,27,,
103143311,T.,Henighan,18,56595,,
10316631,Maksim,Podkorytov,7,121,Florida State University,https://maksim.page
103183394,V.,Dobrovolskii,2,76,,
103185207,Dingyang,Chen,4,34,University of South Carolina,
103202004,Zhenhua,Feng,6,193,,
103226724,Paiheng,Xu,9,321,,
103245682,T.,Zhang,33,4827,"Shenyang Institute of Automation, Chinese Academy of Sciences",https://scholar.google.com.hk/citations?user=jnFR9dMAAAAJ&hl=zh-CN
10324691,Kawin,Ethayarajh,16,6927,,
103381698,Ron,Dicarlantonio,0,0,,
103404553,Hritik,Bansal,18,1817,,
103476203,Stella,Biderman,31,14896,EleutherAI,www.stellabiderman.com
10347824,M.,Vaughan,4,130,,
103492671,Catalina,Goanta,9,303,,
10349529,Prabal,Agarwal,3,57,,
103538973,A.,Alishahi,17,1360,,
103560469,Fangjie,Ma,3,40,,
10357841,Pinkesh,Badjatiya,7,1486,,
103580520,Seongjin,Shin,3,122,,
103596213,Kolby,Nottingham,5,128,,
103619315,W.,Lam,1,16,,
103682620,Sylvain,Gugger,4,2706,,
103745861,Sairam,Sundaresan,7,171,,
103750594,Chengjin,Xu,15,913,,
103760064,Nan-Jiang,Jiang,4,146,,njjiang.github.io
10381629,Shengjie,Qiu,5,112,,
103817248,Zhenhou,Hong,5,148,,
10382513,K.,Meichanetzidis,13,675,,
103839825,F.,Zanzotto,13,495,,
103841287,Mohsen,Tabasi,6,110,"Postdoctorla Fellowship at Lewis Katz School of Medicine, Temple University, Philadelphia, USA",
103868929,Hyonsook,Lee,1,12,,
103882825,Prerna,Bharti,3,56,,
103896164,Haoyan,Liu,5,73,,
10398264,M.,Khodak,19,8668,,
104014275,Millicent,Ochieng,7,532,,
104041391,Samuel,Ackerman,7,165,,
104053818,Rilwan,Adewoyin,4,113,,
104066045,Atticus,Harrigan,4,89,,
104084918,Pavel,Samygin,3,114,,
104128958,Jonah,Lubin,1,97,,
104166593,Laiba,Mehnaz,6,87,,
10419477,A.,Gholami,41,8351,,
104209321,E.,Tass,4,50,,
104268229,Quanjia,Yan,1,5,,
104300808,Dongfang,Lou,7,311,HUNDSUN TECHNOLOGIES INC.,
104304055,Chaewon,Park,2,25,,
10430740,Leonardo,Ribeiro,12,2213,"Amazon, TU Darmstadt",http://leoribeiro.github.io/
104333826,Kellin,Pelrine,9,359,,
104339089,Leticia,Pinto-Alva,3,88,Universidad Catolica San Pablo,https://leticiapinto.github.io/
104348300,Anna,Alsop,2,137,,
104354626,Jonathan,Pilault,5,370,Polytechnique,
104375103,Yunmo,Chen,8,573,,
104382958,Peng,Xu,15,875,,
104404761,Minsam,Kim,3,34,,
104410110,Taru,Jain,8,431,,
104450036,N.,Lan,6,80,,
104463827,Shuohuan,Wang,14,2755,,
104606119,Avik,Sil,2,20,,
104619254,John,Harvill,6,112,University of Illinois at Urbana-Champaign,
10469987,Donghyun,Kwak,8,383,,
104706163,Mohammad,pour,5,55,,
104788767,Mohammad,Khosravani,2,12,,
105040217,Brendan,Callahan,4,98,,
105042132,Zuoyu,Tian,5,465,,
10606368,C.,Yeung,9,227,,
10619607,R.,Goodrum,4,984,,
10633165,C.,Morrison,1,28,,
10638646,Joey,Zhou,50,9540,,
10662951,Valentin,Khrulkov,14,2422,,
10666396,Nikita,Nangia,16,10733,,
10668128,Angelo,Schiavone,5,78,Polytechnic University of Bari,
10669236,Gaël,Guibon,7,194,,
10670068,G.,Gadek,7,91,,
10676335,Jiangyue,Yan,7,198,,
10677993,Salman,Mohammed,4,151,,
10679643,Max,Grusky,4,612,,
10680347,Yilin,Niu,8,875,,
10680632,Unnat,Jain,21,1649,,
10684139,João,Aires,7,197,,
10684484,Yunpu,Ma,17,1128,,
10699417,Hangbo,Bao,15,7320,Harbin Institute of Technology,https://addf400.github.io/
10702047,Nanna,Inie,11,356,"IT University of Copenhagen, University of Washington",www.nannainie.com
10703821,Mengting,Hu,16,747,,
10707709,Martin,Raison,5,42953,,
10708829,K.,Deemter,10,586,,
10716543,Lotem,Peled,1,57,,
10721120,Ramakanth,Pasunuru,26,3247,,
10723295,Dhruv,Madeka,7,627,,
10730859,A.,Mechaber,17,1173,,
10733510,Tom,Zhou,10,789,,
10733723,Yuepei,Li,3,54,,
10734735,Philip,Yeres,5,653,,https://www.linkedin.com/in/philyeres
10735510,Fred,Hohman,22,2988,Apple,https://fredhohman.com/
10736308,Guillaume,Salha-Galvan,12,538,"LIX, École Polytechnique",guillaumesalhagalvan.com
10737060,Siddharth,Karamcheti,20,6674,Stanford University,https://www.siddkaramcheti.com/
10741225,Minsuk,Chang,16,897,KAIST,minsukchang.com
10751749,K.,Ballweg,6,112,,
10753214,Aliaksandr,Siarohin,25,4268,,
10761233,Haiyun,Peng,16,2484,,
10765024,T.,Kolajo,6,265,,
10769461,Nikunj,Saunshi,15,1885,,
107745709,Alan,Ansell,7,301,,
107747459,Haolun,Wu,9,401,,
10775293,Yaoming,Zhu,12,1159,,
107763813,Kyeongpil,Kang,7,337,,
107801878,Helong,Zhou,11,2431,,
10780897,Damai,Dai,17,4127,,
10781161,Thiziri,Belkacem,3,46,,
10783142,Ilias,Chalkidis,19,2143,Athens University of Economics and Business,https://iliaschalkidis.github.io
107846485,Pradyumn,Sinha,5,147,,
10788591,Jongyoon,Song,5,282,,
10791325,Ozan,Caglayan,14,1151,Imperial College London,http://www.ozancaglayan.com
10796472,James,Martin,40,11313,,
107973475,Furkan,Şahinuç,10,301,,https://furkansahinuc.github.io/
10800084,Jasy,Liew,2,11,,
108044950,Viji,Sathy,7,390,,
108053318,Yangsibo,Huang,14,1400,,
108056624,Guillaume,Staerman,10,282,,
108085542,Rui,Wang,25,2034,Shanghai Jiao Tong University,https://wangruinlp.github.io/
108125344,Yuhang,Bai,13,424,,
10820929,Kaiyu,Qian,23,1459,,
10830623,H.,Miyai,1,3,,
10836604,Kobi,Leins,9,314,,
108403054,Azmi,Yuksel,1,20,,
108508643,Ian,Porada,5,67,McGill University,https://ianporada.github.io/
108529205,E.,Garanina,2,12,,
108792855,Barea,Sinno,3,26,,
108809027,Gina,Bustamante,2,55,Pontificia Universidad Católica del Perú,
10918587,Bowen,Tan,21,1134,,
10960878,Donald,Sturgeon,6,94,,
11004068,Susmitha,Wunnava,8,186,,
11019215,Markus,Zlabinger,7,182,,
11030219,Timothy,O'Donnell,9,423,Mila,https://mcqll.org/people/odonnell.timothy/
11032852,Z.,Wang,46,8951,,
11035690,V.,Socrates,8,1455,,
11059382,Dimitris,Stripelis,11,308,,
11062405,H.,Devonish,7,235,,
11064745,Raha,Moraffah,13,744,,
11070957,Weipeng,Chen,4,44,,
11073942,Jay,Lee,7,169,Seoul National University,https://leejayyoon.github.io/
11095339,Xiaoyu,Lv,8,261,"Machine Intelligence Technology Lab, Alibaba Group",
11121990,Huan,Sun,25,1958,The Ohio State University,http://web.cse.ohio-state.edu/~sun.397/
11126660,Sebastian,Stüker,29,3556,,
11149237,Qi,Liu,6,368,,
11154967,Dylan,Fitzpatrick,4,217,,
11178191,Roy,Byrd,18,1530,,
11207348,Polina,Harik,13,562,,
11220282,Lukas,Galke,10,373,University of Southern Denmark,http://lpag.de
11242310,David,Kartchner,9,546,,
11243844,Penghui,Zhu,15,1149,beijing university of posts and telecommunications,
11267515,N.,Partanen,14,532,,
112863312,Jiefu,Gong,3,54,,
112897627,Taichi,Iki,3,36,,
112924568,Sebastian,Nehrdich,5,74,,
112940065,Nasim,Nouri,4,67,,
112943514,Shoval,Sadde,7,171,,
11298055,Tuan-Anh,Hoang,14,967,,
113057658,Emily,Prudhommeaux,7,143,,http://cs.bc.edu/~prudhome/index.html
113087283,Zhiheng,Yan,5,176,,
113188334,Andrea,Fabio,2,59,,
113210882,Junran,Wu,8,265,,
11323133,Yingchi,Liu,13,844,,
11323179,Yinhan,Liu,15,41383,Birch.AI,
113242887,T.,Hoang,4,69,,
113257140,Santiago,Cuervo,4,57,,
113310344,Yu,Wang,51,14178,,
113320522,Leon,Derczynski,33,5985,IT University of Copenhagen,http://www.derczynski.com
113469882,Michael,Heck,13,709,,
113477341,Kazoo,Sone,7,241,,
113477466,Luke,Breitfeller,4,183,,
11348687,Jungo,Kasai,32,6026,,
113488234,Kevin,Lang,2,25,,
11349854,Yingjie,Fei,10,380,,
113505781,Renana,Keydar,3,33,,
113506459,Xinsong,Zhang,5,419,,
113568063,Dmytro,Okhonko,11,1542,,
113577839,Ping,Chen,17,903,,
113610145,T.,Pansuwan,3,24,,
113703011,Vladislav,Hnatovskiy,4,35,,
113705775,Lukas,Stappen,15,1044,,
113760187,Chenhao,Niu,3,1488,"Duolingo, Inc.",
11376893,Anh,Mac,3,43,,
113774878,Sebastian,Walter,10,761,,
113793572,E.,Miltersen,3,45,,
113810201,Vishrav,Chaudhary,30,15484,,
113817427,Debanjali,Biswas,3,39,,
113828976,Joshua,Howland,5,1445,,
113832356,Simona,Georgescu,3,22,University of Bucharest,
113869710,Carel,Niekerk,10,501,,
113906155,Li,Yang,11,2811,Google,
113947684,Abdel-rahman,Mohamed,10,14562,,
113968682,Soyoung,Park,8,233,,
113981222,B.,Lecouteux,20,1759,,
114060427,Ş.,Păun,2,12,,
114072366,M.,Nayyer,3,35,,
114172611,Chi,Hu,7,177,Northeastern University China,https://scholar.google.com/citations?user=RbVVpg4AAAAJ
114276298,Soichiro,Fujita,2,12,Tokyo Institute of Technology,
114385901,Andriy,Mulyar,6,274,Nomic AI,andriymulyar.com
114438707,Xiaodon,Shi,7,236,,
11445222,Heng,Wang,9,198,,
114462250,Jian-zhuo,Liu,14,870,,
11447228,Jun,Zhao,23,2154,,
114565986,Akshen,Kadakia,3,99,,
114577307,Chris,Alberti,18,8219,,
114596433,J.,Jeon,5,110,,
114621402,Chen,Wu,14,1271,Carnegie Mellon University,https://chenwu.io/
114626341,Tatiana,Anikina,4,88,DFKI,
114654431,Eric,Waltenburg,13,512,,
114689671,Jian,Yao,31,5128,,
114693523,Rheeya,Uppaal,6,150,,
114722805,Sai,Prayaga,1,229,,
114743098,A.,Ng,3,139,,
114789302,Tatsuya,Hiraoka,7,136,,
11480711,Amanda,Myntti,2,11,,
114822633,Robert,Filbin,3,99,,
11483088,A.,Cano,15,699,,
114850513,Ahmed,Baruwa,6,2798,,
114874509,Zahra,Azin,3,27,Carleton University,https://carleton.ca/slals/people/tara-azin/
114902240,Miriam,Bodell,3,34,,
114904655,Zi,Chai,2,28,,
114952298,M.,Lachaux,14,31070,,
114986604,Elena,Chiu,3,24,,
115012068,A.,Helle,4,82,,
115098946,Avinash,Madasu,8,245,,
115127177,C.,Earls,21,1222,,
115133125,Alon,Zoizner,8,210,,
115153451,Eunseong,Choi,3,145,,
115192625,Ashwini,Challa,4,55,,
115202081,João,Magalhães,4,66,,
115250823,Cassandra,Overney,3,28,,
115300694,Jan,Fell,6,160,,
115304452,James,Finch,4,54,,
115361209,L.,Nie,6,381,,
115412405,Yasumasa,Onoe,14,905,UT Austin,http://www.cs.utexas.edu/~yasumasa/
115419489,Zhixu,Li,29,3286,,
115444019,Grady,Simon,2,69,,
11545402,Silviu,Paun,11,782,,
115470245,Rohil,Verma,1,3,,
11550122,Diya,Li,5,146,Freenome,https://sites.google.com/site/diyali916/
115501276,J.,McDuffie,1,36,,
115508430,Shraddha,Barke,6,428,,
115516475,Huibin,Ruan,3,61,,
115528615,Leena,Pillai,3,18,,
115549795,Chengzhuo,Ding,4,75,,
115560211,Yuri,Ji,1,13,,
115669262,François,Marelli,4,35,,
115681118,Wazir,Ali,5,200,,
115731137,Dina,Zverinski,2,276,,
11575056,Debarshi,Sanyal,14,913,,
115761476,Gerardo,Diaz,2,81,,
115877520,Cong,Wang,6,82,Nanjing University,tenvence.github.io
115986373,Yumo,Xu,9,595,AWS AI Labs,https://yumoxu.github.io/
115986457,Yang,Xu,36,5360,,
115999068,R.,Nandi,7,130,,
116020578,S.,Guha,6,286,,
116028424,M.,Goin,7,357,,
116043250,Kamen,Brestnichki,1,8,,
116050023,Wilson,Fearn,3,36,,
116105856,Nicolas,Garneau,7,161,,
116108499,E.,Slobodkin,1,2,,
116122080,William,Fu-Hinthorn,5,286,Microsoft;Robust Intelligence,
116180147,Amulya,Gupta,4,39,,
11618346,Chia-Chien,Hung,5,115,,
116272138,Franccois,Fleuret,16,3048,,
116300663,Yi,Luan,32,3997,,
116305713,J.,Gysel,4,99,,
116326671,Zhongqing,Wang,15,984,,
116344405,Holy,Lovenia,12,1844,,
11636339,Will,Feng,3,441,,
116379771,Sion,Baek,2,52,,
116413889,Jiwon,Kang,6,218,,
116506812,Bhaskar,Mitra,33,8244,University College London,https://bhaskar-mitra.github.io/
116587168,Qiaochu,Chen,10,366,,
116606529,Akshara,Prabhakar,10,309,Princeton U,
116639023,N.,Perez,4,26,,
11665731,Yang,Liu,9,228,LMU Munich,https://janetlauyeung.github.io/
116684424,Elin,Naurin,16,886,,
116699355,Rosemary,Adejoh,1,10,,
116796483,Michelle,Cohn,14,530,,
116808134,M.,Minakova,2,6,,
116865200,Ilker,Kesen,3,56,,
11688354,I.,Alimova,11,482,,
11689526,Thomas,Peel,7,129,,
11699474,Changyu,Chen,3,36,,
117095364,Guy,Rotman,5,119,,
11710763,A.,Litinsky,3,187,,
11712793,Shu,Okabe,2,28,,
117128428,D.,Hopkins,33,8385,,
117133855,Hossein,Faghihi,5,166,Michigan State University,
117172343,Seongho,Choi,27,3205,Seoul National University,
11730595,S.,Shubha,6,107,,
117312289,Ayush,Suhane,5,87,Indian Institue of Technology,
117326293,Martijn,Wieling,16,1287,,
117334892,Gabriel,Reinstein,1,263,,
117397243,Ruijia,Cheng,8,197,University of Washington,https://reginachangzhou.github.io/
117518018,Connor,Jerzak,5,67,,
117523858,Cheng-Syuan,Lee,2,9,,
117528827,Robert,Pugh,3,23,,
117566555,Heidi,Kaufman,3,66,,
117582035,Shayna,Gardiner,4,31,,
117595858,Julian,Eisenschlos,15,2432,,
117637793,Qi,Shi,5,145,Harbin Institute of Technology,
117639306,Cunhang,Fan,19,1326,,
117651839,Xiaoya,Dai,3,65,,
117660020,Chi-Liang,Liu,7,551,,
117662877,Zhili,Feng,8,454,,
117696399,Jennifer,Santoso,6,149,University of Tsukuba,
11774695,Dara,Bahri,15,2587,,
11774802,Xu,Sun,50,8498,,
117867510,L.,Lansing,3,294,,
117872156,Fei,Chen,9,2149,,
117905559,Shu,Zhao,22,3610,,
117908148,Xiaojun,Wan,13,675,,
117962087,Radhika,Gaonkar,3,53,,
117967929,J.,Kobbe,7,123,,
11798271,Gyuwan,Kim,4,130,,
118011937,Catharine,Youngs,1,13,,
118114973,Bojia,Lin,2,6,,
118150711,Junwei,Liang,5,94,,
118164075,Huanpei,Chen,5,89,,
118165838,Zhixing,Tian,11,392,"Institute of Automation, Chinese Academy of Sciences",
118242121,Chaitanya,Ahuja,11,3672,,
118266343,Ilnam,Park,1,23,,
11832104,Ziru,Chen,7,222,,
118358816,Qingyu,Tan,11,640,,
118362040,Casey,Meehan,6,138,,
11837188,Shriyash,Upadhyay,3,45,,
118440364,Jules,Samaran,5,790,,
11844404,Tsung-Yen,Yang,11,391,,
118462870,Solomon,Dworkin,2,5,,
118541471,Jonay,Trénous,3,224,,
118541778,Sree,Rajagopal,3,75,,
118558736,Ming,Shen,5,494,Arizona State University,
118565563,Chongyang,Gao,10,262,,
118691408,Junyeong,Kim,6,351,,
11869783,Torsten,Scholak,10,1330,,
118707418,Margaret,Mitchell,8,1471,,
118755749,Sarah,Finch,4,113,,
118790146,Rricha,Jalota,6,113,,
118858967,Patrik,Purgai,1,58,,
118865912,Md.,Khondaker,8,419,,
11894001,Petr,Lorenc,4,53,,
11898578,S.,Raptis,13,444,,
119025687,Thomas,Bott,1,4,,
119050937,Domenic,Donato,6,1395,AssemblyAI,
119054303,William,Dyer,3,32,"University of California, Davis",
119093000,Etienne,Manderscheid,1,5,,
119119640,William,Han,5,71,Carnegie Mellon University,https://willxxy.github.io/
119144409,C.,Barbu,11,624,,
119216375,Jonathan,Yellin,2,7,,
119240402,Sajad,Sotudeh,6,208,,
119289404,Elena,Orlova,4,149,University of Chicago,https://elena-orlova.github.io
119310638,Richard,Csaky,4,135,,https://ricsinaruto.github.io/
119338633,Reto,Gubelmann,6,79,,
119389860,Alicia,Parrish,14,4572,,
119407580,Rosy,Southwell,8,333,,
119431562,M.,Monroe,9,558,,
119506198,Menglin,Xia,7,245,,
11955007,Zhengdong,Lu,37,9308,,
11955114,Ziyao,Lu,5,186,Xiamen university,
119553486,Aishika,Chakraborty,3,78,,
11956893,T.,Gungor,6,153,,
119582522,Gayatri,Deshmukh,7,104,,
119585914,H.,Chua,0,0,,
119589376,Carlos,Aguirre,8,275,Kansas State University,
119603124,Aida,Davani,11,685,University of Southern California,
11963742,Kianté,Brantley,11,849,,
119640649,Jason,Wei,25,32882,,
119659229,Peter,West,21,3249,University of Washington,
11968742,T.,Bowden,2,17,,
119700184,Robert,Wolfe,21,1229,,
119700639,Botian,Shi,22,1893,,
11975554,Kai-Siang,Ang,2,240,,
119804885,Takumi,Ito,9,463,Langsmith Inc,https://www.takumi-ito.com/
119869488,Grusha,Prasad,7,622,,
119873627,Jingjie,Yi,10,579,,
119880716,Vivek,Kulkarni,2,99,,
119883591,Jiale,Yu,4,74,,
119886036,Hebi,Li,4,47,,
119889381,Julien,Romero,4,126,,
119890891,Changxi,Zhu,8,249,,
119895609,Nuo,Chen,15,618,,
119902504,Saadia,Gabriel,11,2693,,
119913198,Wongyung,Kim,1,16,,
119918316,Yu,Wang,12,669,Samsung Research America,http://campuspress.yale.edu/yw355/
119942558,Raúl,Vázquez,8,251,University of Helsinki,https://jrvc.github.io/
11997005,Jordan,Swartz,3,115,,
12003640,John,Pate,7,214,,
120076217,Ho-Chun,Chang,9,293,,
120077253,Aina,Soler,7,179,,
12009223,Shangyu,Xie,9,229,,
120095791,Ling-ling,Liu,7,206,,
120097334,Kaitao,Zhang,5,127,,
12016940,Yuchen,Lu,8,504,,
120174856,Aleksandra,Piktus,16,1927,,
12019342,Xinlan,Yang,8,198,,
120203687,Arnav,Kapoor,4,125,,
120209444,Sujith,Ravi,11,1557,,
120241560,Heng,Wang,35,4304,,
120246321,Junchen,Zhao,5,74,,
120247189,Pascal,Vincent,21,23232,"Mila, Université de Montréal",
120272188,I.,Smurov,5,155,,
120296402,Seung-Jae,Shin,10,519,,
120309652,V.,Shashidhar,3,40,,
120317586,Ivana,Kvapilíková,4,99,,
120375930,Magzhan,Gabidolla,6,106,,
120396713,N.,Wasserman,6,184,,
12040998,Xiangkun,Hu,8,247,,
12041716,Xiruo,Ding,8,171,,
120419790,Jos,Rozen,11,6412,Naver Labs Europe,https://europe.naverlabs.com/people_user/jos-rozen/
120427046,Dou,Hu,9,599,University of Chinese Academy of Sciences,https://hudou95.github.io/
120434407,Minki,Kang,12,595,,
120436437,Xinnian,Liang,10,433,,
120441491,Md.,Rony,9,205,,
120448610,Piper,Armstrong,2,28,Brigham Young University,
120466767,Sidsel,Boldsen,3,22,,
120494256,M.,Schilman,3,81,,
120527265,Chenming,Tang,1,1,,
120534547,Nikolas,Breitkopf,2,98,,
120550181,Vered,Cohen,3,291,,
120570379,S.,Schoch,5,123,,
120572033,Tingxuan,Chen,2,13,,
120590817,Jack,FitzGerald,7,332,Amazon.com,https://www.linkedin.com/in/jackgmfitzgerald/
120597403,Saleh,Almohaimeed,2,5,,
120618881,S.,Matsoukas,28,2645,,
120624606,Yujian,Gan,5,390,,
120639804,Wenhao,Liu,12,794,,
12064357,Zhao-Ying,Xu,6,176,,
120673239,Leo,Born,5,72,,
120688457,Hwisang,Jeon,5,340,,
120722271,Pratyay,Banerjee,17,840,Arizona State University,https://pratyay-banerjee.github.io/
120727449,Yuxin,Xiao,7,470,,
120738202,Hengguan,Huang,4,77,,
120751934,Baeseong,Park,8,341,,
120777041,Shrey,Desai,10,544,Facebook,https://shreydesai.github.io
120783624,Defu,Cao,11,1406,,
12078832,E.,Loebner,10,448,,
120801533,Vivian,Lai,11,1236,,
120838645,Tejas,Gokhale,15,724,"University of Maryland, Baltimore County",https://www.tejasgokhale.com/
120861776,Melissa,Hall,7,354,Meta,https://melissa-hall.com/
120873790,Koustava,Goswami,9,256,,
120896895,Cen,Chen,10,409,,
120897486,Anwen,Hu,16,2248,Alibaba Group,
120922944,Letizia,Tomada,2,68,,
120930931,C.,Wu,20,1066,,
120932246,Jialong,Tang,2,303,,
120957635,Colby,Horn,1,149,,
121010486,J.,Fries,12,657,,
121011351,S.,Avestimehr,29,3913,,
121022966,Xinyue,Chen,4,761,Carnegie Mellon University,
121034666,Mohammed,Khalilia,13,1078,,
121103861,Marjan,Albooyeh,4,81,,
121240779,Y.,Huang,37,8621,,
121243468,Nikhil,Rasiwasia,3,30,,
121244853,M.,Morzy,4,49,,
121254633,Shahar,Katz,3,51,,
121316873,Manos,Fergadiotis,13,1073,,
121320719,Qinjin,Jia,7,138,,
121330168,Yongchang,Hao,9,220,,
121330738,Xiao-Dan,Zhu,4,45,,
121334441,Yuyang,Nie,3,178,,
121388097,Alexander,Zentefis,4,77,,
121500133,Zongcheng,Ji,7,616,,
121523052,Yasaman,Boreshban,2,24,,
121526469,Yichao,Du,8,140,,
121544682,Zheng,Li,12,1324,,
121571466,E.,Adams,1,22,,
121584661,Enkhbold,Bataa,2,39,,
121590975,H.,Hajipoor,2,13,,
121617645,Luisa,März,3,45,,
121636539,Saeed,Hassanpour,7,143,,
121638716,J.,Park,1,54,,
121640365,Linlin,Shen,33,3794,,
12167112,Eric,Meinhardt,5,53,UC San Diego Linguistics,https://sites.google.com/view/eric-meinhardt/home
121742429,Ricardo,Sánchez,3,194,University of Gothenburg,rimusa.github.io
12176518,Judith,Markowitz,16,960,,
121785394,Kuang-hua,Chen,17,1216,,
121799830,Andrea,Papaluca,3,16,,
121817403,Yanjun,Qi,32,7412,,
121817444,Y.,Qi,5,149,,
121832519,Zhen,Xu,48,10522,,
121857840,Shohreh,Haddadan,6,140,Zortify S.A.,
121859976,Guan-Yu,Lin,11,601,,
121899912,Chengyu,Wang,19,1060,,
121937433,Zhen-Le,Yang,4,273,,
121937604,Ziyi,Yang,11,664,Stanford University,http://web.stanford.edu/~zy99/
